Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Hard Voting,0.993574297188755,0.9957967637796052,0.9860301051234589,0.9907342361395526,
Soft Voting,0.9959839357429718,0.9973978904903145,0.9908759124087592,0.9940478023294202,
