Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Hard Voting,0.9967871485943776,0.9980276134122288,0.9927007299270072,0.9953061972863952,
Soft Voting,0.9967871485943776,0.9978880636393505,0.9927007299270072,0.9952377275761896,
Hard Voting,0.9967871485943776,0.9980276134122288,0.9927007299270073,0.9953061972863952,
Soft Voting,0.9967871485943776,0.9978880636393505,0.9927007299270073,0.9952377275761897,
