,precision,recall,f1-score,support
0,0.9466145833333334,0.9837618403247632,0.964830789648308,739.0
1,0.9841112214498511,0.97252208047105,0.9782823297137215,1019.0
2,0.9543568464730291,0.8812260536398467,0.9163346613545817,261.0
3,0.9451476793248945,0.9511677282377919,0.9481481481481481,471.0
accuracy,0.9622489959839358,0.9622489959839358,0.9622489959839358,0.9622489959839358
macro avg,0.957557582645277,0.9471694256683629,0.9518989822161898,2490.0
weighted avg,0.9624936568804087,0.9622489959839358,0.9620966955500825,2490.0
