,precision,recall,f1-score,support
0,0.9788029925187033,0.9911616161616161,0.9849435382685069,792.0
1,0.9870388833499502,0.9969788519637462,0.9919839679358717,993.0
2,0.9879032258064516,0.9315589353612167,0.958904109589041,263.0
3,0.9794050343249427,0.9683257918552036,0.9738339021615472,442.0
accuracy,0.983132530120482,0.983132530120482,0.983132530120482,0.983132530120482
macro avg,0.9832875340000119,0.9720062988354458,0.9774163794887417,2490.0
weighted avg,0.9831554838554358,0.983132530120482,0.983028806444297,2490.0
